Item,Sku,Qty,Subtotal
Lemon Lime by Capella Flavor DropsSize 13ml,7-05-0288-00-31-99,1,$2.50
Chocolate Flavor by Flavor ExpressSize 10ml,7-13-0118-00-08-99,1,$1.99
Oak Milk Flavor by Flavor ExpressSize 10ml,7-13-0346-00-08-99,1,$1.99
Mango by Flavors Express 10ml,7-13-0307-00-08-99,1,$1.99
Black Mile Plus by Tobacco ExpressSize 10ml,7-13-0050-00-08-99,1,$1.99
Pina Colada by Flavor WestSize 10ml,7-14-0379-00-08-99,1,$1.73
Amaretto by Flavor WestSize 10ml,7-14-0009-00-08-99,1,$1.73
Shisha Punch by Inawera 10ml,7-20-0536-00-08-99,1,$3.49
Shisha Rosemary by Inawera 10ml,7-20-0537-00-08-99,1,$3.49
White Cherry Flavor by Lotus FlavorsSize 5ml,7-04-0511-00-05-99,1,$9.99
